temperature,humidity,horizontal_radiation,normal_radiation,heating,cooling,ventilation,gains
11.82,72.77,0.0,0.0,0.0,0.0,0,138.6
11.71,73.95,0.0,0.0,0.0,0.0,0,138.6
11.52,76.75,14.64,28.01,0.02,0.0,0,138.6
11.58,77.51,79.25,99.52,0.0,0.0,0,138.6
11.54,79.56,97.25,13.5,0.0,0.0,0,138.6
11.5,81.06,113.58,2.36,0.0,0.0,0,138.6
11.5,80.94,98.67,0.23,0.0,0.0,0,138.6
11.3,82.81,82.33,0.0,0.0,0.0,0,138.6
10.93,84.62,57.33,0.8200000000000001,0.0,0.0,0,138.6
10.55,85.09,53.92,6.07,0.0,0.0,0,138.6
10.26,83.78,18.67,11.08,0.0,0.0,0,138.6
10.04,82.04,1.0,0.79,32.3,0.0,0,138.6
9.86,81.82,0.0,0.0,36.88,0.0,0,138.6
9.69,81.99,0.0,0.0,39.77,0.0,0,138.6
9.46,82.27,0.0,0.0,45.51,0.0,0,138.6
9.25,82.3,0.0,0.0,80.62,0.0,0,138.6
9.0,84.22,0.0,0.0,41.44,0.0,0,138.6
8.76,86.49,0.0,0.0,89.09,0.0,0,138.6
8.56,87.81,0.0,0.0,176.53,0.0,0,13.86
8.38,88.38,0.0,0.0,173.32,0.0,0,13.86
8.22,88.87,0.0,0.0,178.12,0.0,0,13.86
8.06,89.32,0.0,0.0,181.85,0.0,0,13.86
7.81,89.6,0.0,0.0,188.53,0.0,0,13.86
7.44,90.45,0.0,0.0,197.89,0.0,0,13.86
7.21,89.38,0.0,0.0,225.53,0.0,0,13.86
7.15,88.34,0.0,0.0,197.02,0.0,0,13.86
7.15,87.76,6.83,30.6,223.96,0.0,0,13.86
7.37,87.97,23.5,13.11,181.6,0.0,0,13.86
7.85,87.6,49.17,26.53,179.87,0.0,0,13.86
8.45,84.75,164.75,145.55,107.84,0.0,0,13.86
8.82,81.43,176.0,228.42,72.2,0.0,0,13.86
9.0,78.62,117.25,563.07,84.75,0.0,0,13.86
8.94,76.83,82.33,594.87,105.73,0.0,0,13.86
8.92,75.88,73.17,306.81,151.53,0.0,0,13.86
8.85,75.58,23.5,236.18,197.81,0.0,0,13.86
8.46,76.42,1.22,15.82,173.75,0.0,0,13.86
8.01,77.26,0.0,0.0,188.09,0.0,0,13.86
7.6,78.73,0.0,0.0,214.21,0.0,0,13.86
7.15,80.79,0.0,0.0,198.46,0.0,0,13.86
6.74,82.48,0.0,0.0,217.72,0.0,0,13.86
6.46,84.15,0.0,0.0,224.62,0.0,0,13.86
6.32,84.58,0.0,0.0,251.05,0.0,0,13.86
6.26,83.62,0.0,0.0,245.15,0.0,0,13.86
6.17,83.25,0.0,0.0,228.11,0.0,0,13.86
6.26,83.26,0.0,0.0,254.54,0.0,0,13.86
6.41,84.19,0.0,0.0,245.34,0.0,0,13.86
6.5,85.54,0.0,0.0,244.83,0.0,0,13.86
6.41,86.38,0.0,0.0,247.85,0.0,0,13.86
6.07,87.26,0.0,0.0,232.19,0.0,0,13.86
5.48,89.51,0.0,0.0,257.25,0.0,0,13.86
4.94,91.0,11.0,124.52,256.21,0.0,0,13.86
4.66,92.43,54.5,556.01,248.21,0.0,0,13.86
4.85,93.26,73.75,681.79,169.69,0.0,0,13.86
5.68,89.58,75.75,768.71,137.52,0.0,0,13.86
6.74,83.76,70.67,815.81,137.01,0.0,0,13.86
7.79,77.54,91.0,687.2,112.61,0.0,0,13.86
8.42,72.39,103.92,491.5,101.0,0.0,0,13.86
8.55,69.45,53.17,539.14,174.46,0.0,0,13.86
8.22,70.94,20.92,282.99,188.09,0.0,0,13.86
7.82,72.33,1.22,17.25,229.87,0.0,0,13.86
6.64,77.23,0.0,0.0,238.47,0.0,0,13.86
6.02,80.4,0.0,0.0,250.2,0.0,0,13.86
6.12,80.14,0.0,0.0,246.62,0.0,0,13.86
6.12,80.43,0.0,0.0,246.1,0.0,0,13.86
6.11,81.77,0.0,0.0,227.02,0.0,0,13.86
5.86,85.05,0.0,0.0,262.39,0.0,0,13.86
5.64,88.72,0.0,0.0,120.24,0.0,0,138.6
5.47,91.24,0.0,0.0,150.14,0.0,0,138.6
5.22,92.84,0.0,0.0,157.52,0.0,0,138.6
5.05,93.81,0.0,0.0,179.98,0.0,0,138.6
4.99,94.62,0.0,0.0,174.95,0.0,0,138.6
4.9,95.58,0.0,0.0,178.21,0.0,0,138.6
4.86,96.0,0.0,0.0,160.02,0.0,0,138.6
4.86,95.97,0.0,0.0,168.39,0.0,0,138.6
4.84,95.05,13.56,43.68,155.14,0.0,0,138.6
4.98,92.04,69.17,364.81,114.94,0.0,0,138.6
5.49,86.73,73.92,677.47,75.16,0.0,0,138.6
6.32,81.44,144.42,443.71,44.44,0.0,0,138.6
7.14,77.37,165.67,376.22,34.5,0.0,0,138.6
7.81,74.6,147.5,408.02,32.94,0.0,0,138.6
8.27,72.74,133.83,261.26,42.8,0.0,0,138.6
8.41,72.14,84.75,205.94,77.7,0.0,0,138.6
8.23,73.22,28.58,92.94,96.12,0.0,0,138.6
7.73,75.85,1.56,5.5,118.73,0.0,0,138.6
7.49,77.61,0.0,0.0,110.51,0.0,0,138.6
7.43,78.34,0.0,0.0,112.91,0.0,0,138.6
7.19,79.76,0.0,0.0,96.63,0.0,0,138.6
6.93,81.37,0.0,0.0,136.43,0.0,0,138.6
5.93,88.92,0.0,0.0,125.88,0.0,0,138.6
5.01,94.78,0.0,0.0,176.44,0.0,0,138.6
4.63,96.16,0.0,0.0,160.83,0.0,0,138.6
4.38,96.67,0.0,0.0,171.25,0.0,0,138.6
4.15,96.74,0.0,0.0,181.33,0.0,0,138.6
3.86,97.09,0.0,0.0,187.56,0.0,0,138.6
3.65,96.86,0.0,0.0,193.34,0.0,0,138.6
3.5,95.97,0.0,0.0,197.72,0.0,0,138.6
3.37,95.26,0.0,0.0,201.79,0.0,0,138.6
3.35,93.68,0.0,0.0,219.52,0.0,0,138.6
3.33,92.03,9.75,0.0,191.59,0.0,0,138.6
3.36,91.2,63.42,38.76,166.81,0.0,0,138.6
3.8,87.57,134.67,178.02,131.48,0.0,0,138.6
4.34,83.43,145.67,140.04,112.65,0.0,0,138.6
4.9,79.81,133.17,493.46,99.81,0.0,0,138.6
5.31,76.7,170.08,154.49,108.02,0.0,0,138.6
5.55,74.24,133.33,55.88,108.9,0.0,0,138.6
5.68,71.6,85.25,88.54,126.69,0.0,0,138.6
5.5,69.02,29.42,139.22,145.58,0.0,0,138.6
